Words;Tag;;;
kukulum;;;;
kunaik-turunkan;VB;;;
kugoyang;VB;;;
menggendongku;VB;;;
nikmatnyan;;;;
keempat;CD,OD;;;
selingkuhku;;;;
diijinkannya;VB;;;
memaafkanku;VB;;;
terputus;JJ;;;
ajakan;NN;;;
kutolak;VB;;;
peristiwa;NN;;;
perselingkuhanku;;;;
adik ipar;NN;;;
saran;NN;;;
mengungkit-ungkit;VB;;;
menceritakannya;VB;;;
meniduriku;VB;;;
adiknya;NN;;;
kerap;RB;;;
dlsb;;;;
membahagiakannya;VB;;;
mempraktekannya;;;;
mempraktekan;;;;
cara-cara;NN;;;
perselingkuhan;;;;
merusak;VB;;;
keharmonisan;NN;;;
menerjemahkan;VB;;;
selingkuh;;;;
selingan;;;;
utuh.;;;;
voucher;;;;
gratis;NN;;;
kasir;;;;
969;CD;;;
desy;;;;
mendapati;VB;;;
ditodong;VB;;;
sepucuk;JJ;;;
pistol;;;;
berambut;VB;;;
gondrong;;;;
berkumis;VB;;;
bukunya;NN;;;
keluarin;;;;
uangnya;NN;;;
kabel;NN;;;
laci;VB,NN;;;
takutnya;JJ;;;
memerikan;;;;
diperkenankan;VB;;;
lemari besi;NN;;;
merampas;VB;;;
masa;;;;
bentak;;;;
buka;;;;
besinya;VB,NN;;;
menggiring;VB;;;
manajernya;NN;;;
kombinasi;NN;;;
cepat;;;;
untunglah;NN;;;
brengsek;;;;
sebanding;JJ;;;
resikonya;NN;;;
iket;;;;
polisi;NN;;;
dudukkan;VB;;;
diikat;VB;;;
plester;;;;
beres;;;;
tunggu;;;;
cing;;;;
boleh juga;RB;;;
.cepetan;;;;
dapet;;;;
.gue;;;;
ikatannya;NN;;;
berseru;VB;;;
kagum;JJ;;;
mengawasi;VB;;;
tedengar;;;;
gumaman;NN;;;
menghisapi;VB;;;
mengigit;;;;
diem;;;;
menampar;VB;;;
berkunang-kunang;VB;;;
cap;NN;;;
terbentuk;VB;;;
diplester;;;;
memukuli;VB;;;
minggat;;;;
dari sini;PR,PRP;;;
diseret;VB;;;
sekelilingnya;JJ;;;
membebaskan;VB;;;
roy;;;;
tokonya;NN;;;
.masa;;;;
permen;NN;;;
.goblok;;;;
berandal;VB;;;
12;CD;;;
sstt;;;;
denger;;;;
.cepet;;;;
kembaliin;;;;
.lari;;;;
menjengukkan;VB;;;
manajer;NN;;;
terperangah;;;;
buset;;;;
hei;;;;
desy;;;;
menggeleng-gelengkan;;;;
dirampok;VB;;;
gumanan;;;;
berandalan;VB;;;
wajah-wajah;NN;;;
penemuan;NN;;;
.dia;;;;
.tu;;;;
.mana;;;;
.pasti;;;;
alus;;;;
kelima;CD,OD;;;
merubung;;;;
tangan-tangan;NN;;;
tanga-tangan;NN;;;
berebutan;VB;;;
lubang telinga;NN;;;
melepaskan ikatan;VB;;;
menyeret;VB;;;
jeansnya;;;;
jeans;;;;
berenam;;;;
tersungkur;VB;;;
lecutan;;;;
ikat pinggang;NN;;;
mengayunkannya;VB;;;
ikat;NN,NND;;;
barang-barang;NN;;;
layan;VB;;;
berjatuhan;VB;;;
pukulan;NN;;;
langsung;;;;
berandal-berandal;VB;;;
memukulnya;VB;;;
segulung;;;;
mengikatnya;VB;;;
sudut-sudut;NN;;;
kaki meja;NN;;;
mengikatkan;VB;;;
kaki-kaki;NN;;;
menyerupai;VB;;;
huruf;NN;;;
waktu;;;;
waktunya;;;;
melolong;;;;
air mata;NN;;;
menduduki;VB;;;
bernafas;VB;;;
masuknya;VB;;;
asin;JJ;;;
pahit;JJ;;;
dimuntahkan;VB;;;
meperkosanya;;;;
berkontraksi;VB;;;
terus-menerus;RB;;;
pimpinan;NN;;;
puncaknya;NN;;;
di muka;VB;;;
tolong;;;;
ratap;NN;;;
panggilkan;VB;;;
nama;;;;
bagaimana;;;;
kerjaannya;NN;;;
rebut;VB;;;
.saya;;;;
merebut;VB;;;
iklan;NN;;;
koran;NN;;;
.gara-gara;;;;
ngelamar;;;;
dipecat;VB;;;
lo.;;;;
dikenalnya;VB;;;
membencinya;VB;;;
raoy;;;;
naik pitam;VB;;;
menekuknya;VB;;;
diikatnya;VB;;;
dilitkan;VB;;;
mengikat;VB;;;
ikatan;NN;;;
lepaskan;;;;
memecat;VB;;;
gue;;;;
ngerampok;;;;
kayaknya;NN;;;
keduluan;;;;
toko.;;;;
menghancurkan;VB;;;
etalase;;;;
dipecahnya;VB;;;
rak-rak;NN;;;
ditendang;VB;;;
pendingin;NN;;;
es krim;NN;;;
dilempar;VB;;;
antaranya;;;;
lo;;;;
ejek;VB;;;
menyentil;;;;
anget;;;;
roy;;;;
wajan;NN;;;
mengoreng;;;;
hot dog;NN;;;
sosis;NN;;;
berasap;VB;;;
jangaann;;;;
diisi;VB;;;
kerena;;;;
dirasakannya;VB;;;
keliatannya;;;;
mustard;;;;
disiksa;VB;;;
terbayangkan;VB;;;
usahanya;NN;;;
hei;;;;
alarm;NN;;;
buaya;NN;;;
bergigi;VB;;;
tajam;JJ;;;
jepitannya;NN;;;
menekannya;VB;;;
kawat;NN;;;
mengulurnya;VB;;;
didorong;VB;;;
disetel;VB;;;
pasang;NN,NND,VB;;;
dateng;;;;
narik;NN;;;
alarmnya;NN;;;
jangan;;;;
mohoon;;;;
ikatantubuh;;;;
berkeringat;VB;;;
gelandangan;NN;;;
meminta-minta;VB;;;
gelandang;NN;;;
jangaann;;;;
gigi-gigi;NN;;;
rangka;NN;;;
besi;VB,NN;;;
ungu;JJ;;;
udara dingin;NN;;;
memar-memar;NN;;;
dipukuli;VB;;;
tapi;;;;
memutar-mutarnya;NN;;;
leher botol;NN;;;
berpinggiran;VB;;;
tersayat-sayat;VB;;;
harapan;NN;;;
dilapisi;VB;;;
terlepar;;;;
disodomi;VB;;;
penyakit kelamin;NN;;;
dipilih-pilin;VB;;;
merakan;;;;
sambi;;;;
mengumam;;;;
ditemukan;VB;;;
kerjanya;VB,NN;;;
dihamili;VB;;;
tanteku;;;;
tergoda;VB;;;
pejual;;;;
nasi kuning;NN;;;
535;CD;;;
asep;;;;
samaran,;;;;
171;CD;;;
ideal;;;;
klepek-klepek;NN;;;
mengganggu;VB;;;
karaoke.;;;;
daya;NN;;;
hobiku;NN;;;
gaya-gaya;NN;;;
berunding;VB;;;
belum;;;;
nih;;;;
ngomel;;;;
menjual;VB;;;
laris;;;;
kuparkir;VB;;;
jualannya;NN;;;
ngantri;;;;
naning;;;;
165;CD;;;
langsing;;;;
seksi;;;;
cukupan;NN;;;
34;CD;;;
batik;;;;
komprang;;;;
bungkus;NN,NND;;;
dibungkus;VB;;;
memelintir-lintir;VB;;;
wouw;;;;
tenan;;;;
nek;;;;
menegakkan;VB;;;
berdiriku;VB;;;
weoe;;;;
kucari;VB;;;
andaikan;VB;;;
kata hati;NN;;;
pembeli;NN;;;
sapanya;VB;;;
nasi;NN;;;
ketus;;;;
sambel;;;;
sapaan;NN;;;
lakuku;JJ,NN;;;
tanya-tanya;VB;;;
tuntutan;NN;;;
berjualan;VB;;;
beres-beres;JJ;;;
dagangannya;NN;;;
terjual;VB;;;
barangnya;NN;;;
rayuku;VB;;;
ngerepotin;;;;
jualan;NN;;;
sesampai;JJ;;;
diletakkan;VB;;;
kuningnya;JJ;;;
sendok;NN,NND;;;
lapar;JJ;;;
handuknya;NN;;;
longgarnya;JJ;;;
terlihatlah;VB;;;
cacat;JJ;;;
menggelembung;VB;;;
bakpaw;;;;
sabaran;NN;;;
berbandullah;;;;
puting;;;;
dipelintir;VB;;;
ah;;;;
sialnya;JJ;;;
pandanganku;NN;;;
asem;;;;
plus;;;;
amat-amat;;;;
terawah;;;;
ee;;;;
oo;;;;
pedas;JJ;;;
makannya;VB;;;
saut;;;;
melangkah;VB;;;
menutupnya;VB;;;
ambilin;;;;
bedak;;;;
maksudkan;VB;;;
bedaknya;;;;
masuk;;;;
menyisir;VB;;;
menyodorkan;VB;;;
membalikkan muka;VB;;;
arahku;NN;;;
bantuin;;;;
meratakan;VB;;;
permintaannya;NN;;;
basiku;VB;;;
takut;;;;
ortuku;;;;
ortu;;;;
woow;;;;
wowo;;;;
terkurap;;;;
taburkan;VB;;;
ayy;;;;
sayup-sayup;NN;;;
hobisex69;CD;;;
metutup;;;;
wowowo;;;;
indahnya;JJ;;;
menaburkan;VB;;;
dibukakan;VB;;;
menyenggol-nyenggol;VB;;;
kehalangan;NN;;;
dicopot;;;;
menutupkan;VB;;;
elusan;;;;
hanya;;;;
lepas;;;;
meratan;;;;
sedikit-sedikit;;;;
man;;;;
sesstsst;;;;
menyembunyikannya;VB;;;
ssts;;;;
seestt;;;;
beri;VB;;;
tersentuh;VB;;;
sstt;;;;
stt;;;;
sestt;;;;
melarangku;VB;;;
tidak segan-segan;RB;;;
memutar-mutarkan;VB;;;
putar;VB;;;
gesek-gesek;NN;;;
ye;;;;
jang;;;;
an;;;;
sep;;;;
tersiksa;VB;;;
ibu jari;NN;;;
naning;;;;
mencerminkan;VB;;;
kekecewaan;NN;;;
tertundanya;VB;;;
dibalikkan;VB;;;
kaitannya;NN;;;
tersembunyi;VB;;;
dilebarkannya;VB;;;
maksudku;NN;;;
sep;;;;
ssstss;;;;
kepal;NN,NND;;;
tuing;;;;
te;;;;
rus;;;;
scrut;;;;
memperlebar;VB;;;
"k;itorisnya";;;;
lam;;;;
patah-patah;JJ;;;
han;;;;
ce;;;;
petin;;;;
kelu;;;;
beberaoa;;;;
cur;;;;
cur;;;;
keluarlah;VB;;;
ready;;;;
melintir-lintir;VB;;;
kelemasannya;;;;
mengaduk-aduk;VB;;;
sautku;;;;
pelintiran;NN;;;
selakanganku;;;;
ngeper;;;;
rawat;VB;;;
melintir;;;;
erangku;VB;;;
ditelan;VB,NN;;;
telur-ku;;;;
dilahapnya;;;;
ses;;;;
binalnya;;;;
mauku;;;;
didekatkan;VB;;;
digesek-gesekkan;VB;;;
bless;;;;
sleep;;;;
kemaluanmu;NN;;;
mantep;;;;
berpegangan;VB;;;
oph;;;;
ning;;;;
goyangannya;NN;;;
kon;;;;
tol;NN;;;
do;;;;
rong;;;;
plek;;;;
plek;;;;
benturan;NN;;;
sepuluh;CD;;;
ambang;NN;;;
tah;;;;
untukmengocok;;;;
membantunya;VB;;;
sesstt;;;;
ser;;;;
ser;;;;
menuntaskannya;VB;;;
bisikkan;VB;;;
lemasnya;;;;
nanggung;;;;
dibiarkan;VB;;;
merahitu;;;;
keasyikan;NN;;;
manna;;;;
kontolmu;;;;
sukin;;;;
bleess;;;;
slleep;;;;
auggh;;;;
hem;;;;
hm;;;;
ta;;;;
kumpul;VB;;;
ba;;;;
reng;;;;
sa;;;;
du;;;;
g;;;;
telingnya;;;;
kocokannya;NN;;;
kapan-kapan;NN;;;
menunggunya;VB;;;
dipake;;;;
belitan;NN;;;
sepeti;JJ;;;
croot;;;;
croot;;;;
nge-sex;;;;
562;CD;;;
tiri;JJ;;;
duda;NN;;;
beranak;VB;;;
ibukupun;NN;;;
perawakan;NN;;;
aslinya;JJ;;;
apa2;CD;;;
bertambahnya;VB;;;
kenap;;;;
adiku;VB;;;
sunggung;;;;
keremas-remas;NN;;;
berwarnya;;;;
,abang;;;;
ngapain,;;;;
tampa;;;;
kuterjang;VB;;;
bercanda.;;;;
kelewatan;NN;;;
artinya;VB,NN;;;
kemarnya;;;;
perlakuanku;NN;;;
payudaranyanya;NN;;;
kuisap;VB;;;
kebranikan;;;;
bang;;;;
gelimerasa;;;;
mempermainkannya;VB;;;
laki2;CD;;;
meronta2;CD;;;
dgnq;;;;
lg;;;;
penyaluran;NN;;;
nafsuq;;;;
dgnku;;;;
hal2;CD;;;
sssstttttttternyata;;;;
pertama2;CD;;;
isap;VB;;;
vaginyanya;;;;
pakainnya;;;;
terjerat;VB;;;
kelakuanku;NN;;;
meranjing2;CD;;;
keenakan;;;;
ssstttenak;;;;
,,,,;;;;
isep;;;;
bangsebelahnya;;;;
bang.;;;;
memasuk;VB;;;
aaahhhkkkk;;;;
kucaba;;;;
perlahan-lahania;;;;
pelan2;CD;;;
kocok2;CD;;;
lobangnya;NN;;;
cukuplah;JJ;;;
vaginanyaarrgghhh.;;;;
mengerang.;;;;
mengalahkucoba;;;;
lgakhirnya;;;;
vaginanya.;;;;
sakit.;;;;
peniskujantungku;;;;
miris;;;;
sendiriayo;;;;
bangkok;;;;
berhentiaq;;;;
membangkitakan;;;;
walah;;;;
teramat;RB;;;
kecilaq;;;;
menggenjotnya;VB;;;
perlahanah;;;;
ah..;;;;
cumam;;;;
kecilnya.;;;;
menggenjot.;;;;
,,,,,;;;;
cepat..;;;;
tambh;;;;
capat;;;;
mencakar2;CD;;;
punggungkuaaahhhhhh;;;;
oh.;;;;
kayakya;;;;
dinamakan;VB;;;
orgasme..;;;;
orgasmenafsuku;;;;
naikaku;;;;
mnggenjot;;;;
cepet.;;;;
erangkuaq;;;;
juga.;;;;
kutumpahkan;VB;;;
terlelah;JJ;;;
terperanjatah;;;;
ahapa;;;;
bang..;;;;
kataku.;;;;
akhitnya;;;;
tertidur.;;;;
iturelated;;;;
436;CD;;;
accounting;;;;
manager;;;;
overbudget;;;;
laporan;NN;;;
mingguan;NN;;;
kubuat;VB;;;
staf;NN;;;
senior;NN;;;
latar belakang;NN;;;
mendukung;VB;;;
management;;;;
merekrutnya;VB;;;
konsultan;NN;;;
keuangan;NN;;;
kupanggil;VB;;;
bu,;;;;
mbak.;;;;
terbina;VB;;;
formal;;;;
sikapnya;NN;;;
pak.;;;;
betah;;;;
sewaktu-waktu;JJ;;;
bernar-binar;NN;;;
mendikte;VB;;;
kepercayaan;NN;;;
melaksanakan;VB;;;
diinginkannya;VB;;;
blus;;;;
lekukan;;;;
file;NN;;;
folder;;;;
baliknya;VB;;;
bentuknya;NN;;;
membongkah;;;;
mereka-reka;VB;;;
keindahannya;NN;;;
sakong-klik-qq-728;CD;;;
gifdi;;;;
seperangkat;JJ;;;
dipergunakannya;VB;;;
tamu-tamu;NN;;;
pembicaraan-pembicaraan;NN;;;
privacy;;;;
membahas;VB;;;
cash;;;;
flow;;;;
keberuntunganku;;;;
gading;NN;;;
terbentur;VB;;;
kegelapan;NN;;;
lengannya;NN;;;
pangkalnya;NN;;;
lirikanku;NN;;;
dikejutkan;VB;;;
jhony;;;;
betisku;NN;;;
salahkah;JJ;;;
hmm;;;;
mengapa;;;;
membisu;VB;;;
persis;;;;
rodanya;NN;;;
agar;;;;
kuberi;VB;;;
memeriksanya;VB;;;
sebuah;;;;
kehormatan;NN;;;
mencairkan;VB;;;
kompensasinya;;;;
sebagai;;;;
hormat;JJ;;;
tanda terima;NN;;;
kuberikan;VB;;;
bagus;;;;
betis;;;;
hanya;;;;
seribu;;;;
mbak;;;;
manahan;;;;
tawanya;NN;;;
menentukan;VB;;;
deal;;;;
lady;;;;
i;;;;
like;;;;
mejanya;NN;;;
kursinya;VB,NN;;;
membutuhkan;VB;;;
sanjungan;NN;;;
periksalah;;;;
jhony;;;;
terpana;JJ;;;
perintahnya;NN;;;
meredakan;VB;;;
debar-debar;NN;;;
lemah;JJ;;;
kekuatan;NN;;;
sendi-sendi;NN;;;
keremangan;;;;
ingin;;;;
kunci;;;;
patuh;JJ;;;
lambat;JJ;;;
bermalas-malasan;VB;;;
secarik;;;;
g-string;;;;
tertopang;VB;;;
ikal;;;;
sisi-sisi;NN;;;
selebar;JJ;;;
mengitari;VB;;;
sepatunya;NN;;;
klip;NN;;;
pergelangan;NN;;;
bulu halus;NN;;;
kehitaman;NN;;;
kontras;NN;;;
indah;;;;
tunjukkan;;;;
tunjukkan;VB;;;
kuluruskan;VB;;;
kugigit;VB;;;
gigitanku;NN;;;
kurang;;;;
selebat;JJ;;;
memudar;VB;;;
utuh;JJ;;;
kecupan-kecupanku;NN;;;
segaris;JJ;;;
kebasahan;NN;;;
dikelilingi;VB;;;
menyelip;VB;;;
g-stringnya;;;;
memaksaku;VB;;;
terperangkap;VB;;;
kusergap;VB;;;
kemulusannya;NN;;;
pergelangan kaki;NN;;;
ciuman-ciumanku;NN;;;
pose;;;;
memabukkan;VB;;;
jawab;;;;
suka;;;;
pemandangan;;;;
nanti;;;;
menyegarkan;VB;;;
pandan;;;;
membius;VB;;;
sekarang;;;;
ulangnya;VB;;;
waras;;;;
kegilaan;NN;;;
etika;NN;;;
norma-norma;NN;;;
sakral;;;;
percintaan;NN;;;
kelembutan;NN;;;
buah bibir;NN;;;
tetes-tetes;NN;;;
dihadiahi;VB;;;
segumpal;;;;
kucucipi;;;;
mengulurkan tangan;VB;;;
hanya;;;;
menggosok-gosokkan;VB;;;
rupanya;;;;
melingkarkan;VB;;;
hm;;;;
haus;;;;
hm;;;;
haus;;;;
dihiasi;VB;;;
clit;;;;
termangu;;;;
hirup;;;;
dubur;;;;
pilihan;NN;;;
kuhirup;VB;;;
digosok-gosokkannya;VB;;;
berlumuran;VB;;;
mendengus;;;;
kehidupannku;;;;
fantastis;;;;
kan;;;;
segar;;;;
memanjakanku;VB;;;
sepuas-puasmu;JJ;;;
memuja;VB;;;
jilat;;;;
memujanya;VB;;;
hausmu;NN;;;
setetes;JJ;;;
tersisa;VB;;;
bagimu;VB;;;
diucapkannya;VB;;;
mereguk;;;;
dihadiahkannya;VB;;;
kerongkongannku;;;;
kuhisap-hisap;VB;;;
terhempas;;;;
mengebu;;;;
kujepit;VB;;;
ia;;;;
gantinya;VB;;;
menggerak-gerakkan;VB;;;
sekehendak;JJ;;;
lidahmuu;;;;
hisaap;;;;
kedutan-kedutan;NN;;;
kedutan;NN;;;
terbuang;VB;;;
kutunggu-tunggu;VB;;;
menyejukkan;VB;;;
luar ruang;NN;;;
kecut;;;;
terhunjam;;;;
gumam;VB;;;
menghenyakkan;;;;
memancar;VB;;;
sendu;;;;
tatap;;;;
bersihhm;;;;
erotisme;;;;
matamu;NN;;;
lipatan-lipatan;NN;;;
memujaku;VB;;;
ya;;;;
betismu;NN;;;
pahamu;NN;;;
muuah;;;;
sepenuh hati;JJ;;;
747;CD;;;
memalukan;VB;;;
sindi;;;;
halo,;;;;
oh;;;;
sari;NN;;;
kak,;;;;
diseberang;VB;;;
sindi;;;;
??;;;;
mbakmu;;;;
piket;;;;
hp-nya;;;;
gak;;;;
sampaiin;;;;
pertengahan;NN;;;
juni;NNP;;;
deh;;;;
oke;;;;
sampaikan;VB;;;
take;;;;
care;;;;
ya;;;;
ingatanku;NN;;;
problem;;;;
drug;;;;
berurusan;VB;;;
pihak;NN;;;
berwajib;VB;;;
tertangkap tangan;VB;;;
kepemilikan;;;;
narkoba;NN;;;
saranku;NN;;;
singapura;NNP;;;
th;;;;
seperti juga;;;;
saudaranya;NN;;;
berwajah;VB;;;
berombak;VB;;;
postur;;;;
proporsional;;;;
obsesi;NN;;;
mandiri;JJ;;;
sifatnya;NN;;;
keras kepala;JJ;;;
terperosok;JJ;;;
berkepanjangan;VB;;;
yang;;;;
sukai;;;;
datang-dipanggil;VB;;;
keterangan;NN;;;
ditahannya;VB;;;
keadaannya;NN;;;
curhat;;;;
merayu;;;;
mengontrolnya;VB;;;
nurut;;;;
bandel;JJ;;;
menganggapnya;VB;;;
sesuatu;;;;
semestinya;RB;;;
2017;CD;;;
menjemputnya;VB;;;
gambir;;;;
berita;NN;;;
mempersiapkan;VB;;;
13;CD;;;
bungsuku;JJ;;;
duga;VB;;;
rencananya;NN;;;
hendry;;;;
cowoknya;;;;
kok;;;;
ponakan2ku;CD;;;
sambut;VB;;;
barang2;CD;;;
bawaannya;NN;;;
andi;;;;
diisolasi;VB;;;
sodaranya;;;;
ngeloyor;;;;
merokok;VB;;;
kesian;;;;
mereka;;;;
kak;;;;
knapa;;;;
yah;;;;
loe;;;;
refreshing;;;;
ijazahmu;;;;
yang;;;;
donk;;;;
komentarnya;NN;;;
apa;;;;
cowokmu;;;;
hahahaha;;;;
digelitiknya;VB;;;
sekarang;;;;
maret;;;;
nyetirbulan;;;;
persneling;NN;;;
sih,;;;;
gelitiki;VB;;;
ditangkapnya;VB;;;
digenggam;VB;;;
manjakakak;;;;
sindi;;;;
kakakmu;NN;;;
menyayangimu;;;;
jengah;;;;
rizky;;;;
ngertiin;;;;
pahami;VB;;;
ngemanjain;;;;
teleponan;NN;;;
kakak..;;;;
ngerusak;;;;
bodohmu,;;;;
menyambutku;VB;;;
disiapkan;VB;;;
maa;;;;
yah;;;;
singkatnya;JJ;;;
ditemenin;;;;
iya;;;;
temenin;;;;
tersayang;VB;;;
janji;;;;
setelah;;;;
rundingan;NN;;;
keputusannya;NN;;;
paa;;;;
bawain;;;;
disini.oke;;;;
sayang,;;;;
dalemsari;;;;
kamar;;;;
sindi;;;;
kuketuk;VB;;;
sahutan;NN;;;
istrikukalo;;;;
paa;;;;
disanatungguin;;;;
bengal;;;;
biarin;;;;
12-an;CD;;;
bathinku;;;;
berperang;VB;;;
,;;;;
selimuti;VB;;;
terlelap;;;;
mendengkur;VB;;;
sangat2;CD;;;
sebelahnya;;;;
kuulangi;VB;;;
belai;VB;;;
lembab;JJ;;;
sindi;;;;
dengar;;;;
peduli;;;;
kepinggangku;;;;
kakk;;;;
meninggalkannya;VB;;;
benci;JJ;;;
kutemukan;VB;;;
figur;NN;;;
sayangi;VB;;;
kedaerah;;;;
intimnya;JJ;;;
the;;;;
mood;;;;
nyaring;;;;
menyadarkan;VB;;;
pahh;;;;
siram;VB;;;
gerah;;;;
dasterku.;;;;
un;;;;
ending;;;;
14;CD;;;
rekan2;CD;;;
ulang;VB;;;
tahunku;NN;;;
why;;;;
happen;;;;
udahlah;;;;
wont;;;;
that;;;;
again;;;;
nunggu;;;;
14.30;CD;;;
pizza;NN;;;
hut;;;;
beliin;;;;
dikamar;VB;;;
ulang tahun;NN;;;
sari,;;;;
met;;;;
pah;;;;
hadiahnya;NN;;;
sembuh;JJ;;;
main mata;VB;;;
19.30;CD;;;
pah;;;;
pulangnya;VB;;;
ditungguin;;;;
tungguin;;;;
urusin;;;;
rio;;;;
intan.;;;;
tadi;;;;
ktemuan;;;;
temennya;;;;
papah;;;;
kasi;VB;;;
cadangan;NN;;;
terbersit;;;;
malaikat;NN;;;
menyayangkan;VB;;;
syaitan;;;;
jiwa-ragaku;NN;;;
berkedut;;;;
sanubarinya;;;;
membohongi;VB;;;
intan;;;;
sari;;;;
disiplin;NN;;;
mendidik;VB;;;
anak.;;;;
periksa;VB;;;
nge-cek;NN;;;
sindi;;;;
kamarnya.;;;;
23;CD;;;
call;;;;
say;;;;
good;;;;
night;;;;
ketukan;NN;;;
pakaian tidur;NN;;;
dipelukin;;;;
dimanjain;;;;
ucok;;;;
merdeka;JJ;;;
berlainan;VB;;;
berdansa;VB;;;
gendong;VB;;;
string;;;;
satu2nya;CD;;;
disamping;VB;;;
jengkal;NN,NND;;;
mimpikan;VB;;;
aktifitas;NN;;;
woww;;;;
hisapannya;NN;;;
ruarr;;;;
genjotan-nya;NN;;;
kuposisikan;VB;;;
clepp;;;;
very;;;;
slow;;;;
spotnya;;;;
sedikit;;;;
clitnya;;;;
dijepitnya;VB;;;
dikekehendaki;;;;
dahsyat;JJ;;;
cumming;;;;
teriaknya;VB;;;
kedutannya;NN;;;
menuntaskan;VB;;;
hamper;;;;
segila;JJ;;;
begitulah;;;;
panggilan;NN;;;
keperjakaan;;;;
08:14;CD;;;
646;CD;;;
berjudul;VB;;;
cendrung;;;;
gebu;;;;
poin;NN;;;
asyikk;;;;
hipersex;;;;
yang mana;NN;;;
selengkapnya;JJ;;;
ceritanya;NN;;;
mentari;NN;;;
tirai;;;;
pantai;NN;;;
berhalangan;VB;;;
jatah;;;;
dikarenakan;;;;
selimutnya;NN;;;
bukan buatan;RB;;;
minuspun;;;;
sifat;NN;;;
perfect;;;;
anugrah;;;;
terindah;JJ;;;
kumiliki;VB;;;
menggantikannya;VB;;;
harta;NN;;;
kehilangannya;NN;;;
sifat-sifat;NN;;;
gonta-ganti;VB;;;
party;;;;
booking;;;;
perex;;;;
cina/taiwan/dll,;;;;
dll;NN;;;
meninggalkan/tidak;;;;
menghubungi;VB;;;
mengambil;;;;
menyewa;;;;
tsb;;;;
puluhan;CD;;;
milyar;;;;
makanya;SC;;;
telp/handphone;;;;
pembantu;;;;
satpam;;;;
bodyguard;;;;
jamin;VB;;;
pembuatnya.;;;;
shopping;;;;
utus;VB;;;
bodyguard;;;;
berpesan;VB;;;
rontok;VB;;;
ulah;NN;;;
hadiah;;;;
berharga;VB;;;
dimuat;VB;;;
kejadiannya;NN;;;
keris;;;;
gallery;;;;
menteng;;;;
berupa;VB;;;
timah.;;;;
berkata:;;;;
jika;;;;
sampah;NN;;;
dibuang;VB;;;
kuman;NN;;;
bakteri;NN;;;
penghuninya;NN;;;
negarapun;NN;;;
sampah;;;;
masyarakat;;;;
dimusnahkan;VB;;;
negara;NN;;;
sehat.;;;;
motto;;;;
perintahkan;VB;;;
menjalankan;VB;;;
menodong/merampok;;;;
sekeluarga;JJ;;;
sel;NN;;;
meresahkan;VB;;;
masyarakat;NN;;;
pakaian dalam;NN;;;
perlan-pelan;JJ;;;
mulutnyaoohh;;;;
bertempur;VB;;;
jeritannya;NN;;;
merapatnya;VB;;;
dicakar-cakarnya;NN;;;
tetes;NN,NND;;;
lubuk;;;;
enough;;;;
honey;;;;
auuow;;;;
minggu,;;;;
semua;;;;
menyuruhnya;VB;;;
kukayuh;VB;;;
mengendur;VB;;;
kutaruh;VB;;;
eengghh;;;;
aahh,;;;;
bendunganku;NN;;;
jebol;VB;;;
kutusuk;VB;;;
tiduran;NN;;;
breakfast;;;;
honey;;;;
wanna;;;;
tell;;;;
something;;;;
lanjutnya;VB;;;
you;;;;
must;;;;
be;;;;
promise;;;;
1st;CD;;;
promise;;;;
for;;;;
what;;;;
dont;;;;
mad;SYM;;;
with;;;;
me;;;;
cant;;;;
honey;;;;
pregnant;;;;
are;;;;
serious;;;;
kesurupan;;;;
berpilin;;;;
kupencet-pencet;NN;;;
jenjangnya;NN;;;
barangku;NN;;;
buah pelir;NN;;;
sedotan-sedotannya;NN;;;
dimain-mainkan;VB;;;
ribut;JJ;;;
mengigiti;;;;
mooree;;;;
kukunya;NN;;;
menggores;;;;
kuhiraukan;VB;;;
lolongan;;;;
giliranku;NN;;;
im;;;;
glad;;;;
pregnant;;;;
terbata-bata;VB;;;
you;;;;
dahiku;;;;
berlumur;VB;;;
sexsy;;;;
kuperintah;;;;
kupijat-pijat;NN;;;
"&amp;";;;;
memacu;VB;;;
butir-butir;NN;;;
keringatnya;NN;;;
2x;CD;;;
kehamilannya;NN;;;
doa;NN;;;
keselamatan;NN;;;
inginkan;VB;;;
dinodai;VB;;;
pleki;;;;
seekor;JJ;;;
anjing;NN;;;
708;CD;;;
menugaskanku;VB;;;
program;NN;;;
pendidikan;NN;;;
kantor cabang;NN;;;
melinda;VB;;;
linda;;;;
berkecukupan;VB;;;
saudara kandung;NN;;;
belanda;NNP;;;
menado;;;;
peranakan;NN;;;
umumnya;;;;
seusiaku;JJ;;;
potong;NN,NND,VB;;;
mematut;;;;
berkerah;VB;;;
padukan;VB;;;
blazer;;;;
tampil;VB;;;
kesayanganku;NN;;;
cabangku;NN;;;
melapor;VB;;;
suasananya;NN;;;
lobby;NN;;;
bertugas;VB;;;
pelatihan;NN;;;
ditunggu;VB;;;
bobby;;;;
ruangannya;NN;;;
mengajukan;VB;;;
kantor pusat;NN;;;
diklat;;;;
posting;NN;;;
blogseks;;;;
#NAME?;;;;
menelanjangiku;VB;;;
memperhatikanku;VB;;;
kusembunyikan;VB;;;
sungutku;;;;
mempersilakanku;VB;;;
menelanku;VB;;;
berterima kasih;VB;;;
bukan kepalang;RB;;;
dijambak;VB;;;
terjerembab;;;;
sedetik;JJ;;;
menyergap;VB;;;
menggumuliku;VB;;;
menghembus;VB;;;
